name,popularity,phonetic,gender,meaning,root
آذرمهر, ,,both,مرکب از آذر+ مهر،محبت خورشید،مهربانی خورشید، نام یکی از موبدان ساسانی و همچنین یکی از هفت آتشکده بزرگ ایرانیان,فارسی
آذرمینا,101,āzar minā,female,لعلگون، سرخ رنگ,فارسی
آذرنگ,101,āzarang,male,روشن و نورانی ، آتش,فارسی
آذرنوش,414,āzar nuš,male,نوش آذر- آتش جاویدوان،گرمای همیشگی - نام دومین آتشکده از هفت آتشکده بزرگ ایرانیان,فارسی
آذرک,101,āzarak,female,شراره آتش، اخگر، نام دختر یزگرد سوم پادشاه ساسانی,فارسی
آذرکیوان, ,,male,نام موبدی زرتشتی، مؤسس آیین خاصی به همین نام,فارسی
آذریاس,101,āzar yās,female,صمغ سداب کوهی,فارسی
آذرین,101,āzarin,both,آتشین، گرم و سوزان,فارسی
آذین,9725,āzin,both,زینت، زیور، نام یکی از فرماندهان سپاه بابک خرم دین، نام پهلوانی در ویس و رامین,فارسی
آذین دخت,113,āzin doxt,female,دختری که وجودش موجب آرایش و ارج بستگانش است.,فارسی
آذین فر, ,,male,پسر باشکوه و آراسته,فارسی
آذین گل, ,,female,زینت گل، زیورگل - کنایه از زیبایی بسیار زیاد,فارسی
آرا,904,ārā,female,مخفف آراینده آرایشگر-زیور زینت,فارسی
آراد,36039,ārād,male,آراج - نام روز بیست و پنجم از هر ماه شمسی در ایران قدیم که در این روز نو پوشیدن را مبارک و سفر را شوم می دانند,فارسی
آراز,9460,ārāz,male,گویش ترکی رودخانه ارس,ترکی
آراس,3106,ārās,male,آراز، رود ارس,ترکی
آراسته,4939,ārāste,female,آن که دارای صفتهای خوب اخلاقی است، آنچه آرایش شده و زینت و زیور داده شده است,فارسی
آرام,9236,ārām,male,آهسته ساکت سنگینی و وقار مکان خلوت,فارسی
آرامش,518,ārāmeš,female,آسایش، فراغت، راحتی، صلح و آشتی (اسم مصدر از آرمیدن),فارسی
آرامه,248,ārāme,female,منسوب به آرام، آرام,فارسی
آران,3370,ārān,male,درای طبیعت گرم - همچنین اسم شهری قدیمی که قباد ان را بنا کرد,کردی
آرایه,101,,female,آرایش زیبایی,فارسی
آرتا دخت,252,,female,دختر راست گفتار و درست کردار ، دختر پاک و مقدس ، نام بانویی اقتصاد دان که در زمان اشکانیان به به سمت خزانه داری یکی از شهریاران اشکانی منسوب شد.,فارسی
آرتاباز,101,ārtā bāz,male,نام فرمانده گردونه های کوروش پادشاه هخامنشی,فارسی
آرتابان,101,ārtābān,male,اردوان,فارسی
آرتادخت,252,ārtā doxt,female,دختر راست گفتار و درست کردار ، دختر پاک و مقدس ، نام دختری فرهنگدار و اقتصاددان که به خزانه داری یکی از شهریاران اشکانی رسید.,فارسی
آرتان,2616,ārtān,male,نام برادر داریوش پادشاه هخامنشی و پسر ویشتاسب,فارسی
آرتمیس,4301,ārtemis,female,در اساطیر یونان، خدای شکار و خواهر دوقلوی آپولون - همچنین نام شیرزنی که فرمانده نیروی دریایی کمبوجیه در جنگ بین ایران و یونان بود,یونانی
آرتین,44957,ārtin,male,آرش،عاقل و زیرک، از شخصیتهای شاهنامه، نام پهلوان نامدار ایرانی در زمان منوچهر پادشاه پیشدادی که در تیراندازی بسیار توانا بوده است,فارسی
آرتینا,2278,ārtinā,female,آرتین + ا (پسوند اسم ساز)، منسوب به آرتین,فارسی
آردا, ,,male,آرشا ، مقدس,فارسی
آردین,595,ārdin,male,آرد = آرت + ین (نسبت)، منسوب به آرت، مقدس,فارسی
آرزو,155476,ārezu,female,میل و اشتیاق برای رسیدن به مراد یا مقصودی معمولاً مطلوب، از شخصیتهای شاهنامه، نام دختر سرو پادشاه یمن و همسر سلم پسر فریدون پادشاه پیشدادی,فارسی
آرسام,18298,ārsām,male,آرشام،خرس،زورمند، دارای زور خرس پسر آریارمنه و پدر ویشتاسب از خاندان ‏هخامنشی,فارسی
آرسان,1026,,male,نام پسر اردشیر دوم پادشاه هخامنشی,فارسی
آرش,123573,āraš,male,عاقل و زیرک- از شخصیتهای شاهنامه، نام پهلوان نامدار ایرانی در زمان منوچهر پادشاه پیشدادی که در تیراندازی بسیار توانا بوده است,فارسی
آرشا,4412,āršā,male,آردا ، مقدس,فارسی
آرشام,13837,āršām,male,به معنی خرس و به معنی زور، دارای زور خرس پسر آریارمنه و پدر ویشتاسب از خاندان ‏هخامنشی,فارسی
آرشامه, ,,male,به معنی خرس و به معنی زور، دارای زور خرس پسر آریارمنه و پدر ویشتاسب از خاندان ‏هخامنشی,فارسی
آرشان,1329,āršān,male,نام پسر اردشیر دوم پادشاه هخامنشی,فارسی
آرشاویر,1046,āršāvir,male,مرد مقدس، نام یکی از پادشاهان اشکانی,فارسی
آرشاک,372,,male,ارشک، تلفظ ارشک در پارسی باستان,فارسی
آرشیدا,10833,āršidā,female,بانوی درخشان آریایی - بانوی آراسته و درخشان - مرکب از آر + شید + الف تانیس - آر به دومعنی به کار می رود اول,فارسی
آرشین, ,,female,آرشین نام یکی از زنان دوره هخامنشی می باشد که به کاردانی مشهور بوده و هم به معنای دوست داشتنی نیز می باشد,فارسی
آرمان,67925,ārmān,male,آرزو، از شخصیتهای شاهنامه، نام سردار خسروپرویز پادشاه ساسانی,فارسی
آرمیا, ,,male,آرامش دهنده، آرام کننده,فارسی
آرمین,85750,ārmin,male,از شخصیتهای شاهنامه، نام چهارمین پسر کیقباد - مرد همیشه پیروز,فارسی
آرمین دخت, ,,female,دختر آرمین,فارسی
آرمینه,1210,ārmine,female,ارمنی، دختر ارمنی,ارمنی
آرنوش,482,ārnuš,female,ار = آریایی + نوش = جاوید، آریاییجاوید، ایرانی جاوید,فارسی
آرون,589,ārvan,male,صفت نیک و خصلت پسندیده,فارسی
آروین,29192,ārvin,male,تجربه، آزمایش امتحان آزمون,فارسی
آری, ,,male,آریایی - نام یکی از ایالات ایران قدیم که شامل خراسان و سیستان امروزی بوده است - نام یکی از طوایف چادر نشین مازندران,کردی
آریا,60267,āriyā,male,نژاد هندوارپائیان که در عهدی بسیار کهن با هم زندگی می کردند و بعدها به دو بخش بزرگ تقسیم شدند گروهی به هند و ایران آمدند و گروهی به اروپا رفتند.نام میهن عزیز ما ایران از این‎ ‎کلمه گرفته شده است,فارسی
آریابد,171,āriyābod,male,به ضم ب - آریا + بد(صاحب و سرور) سرور قوم آریایی ٠ بزرگ آریاییان,فارسی
آریادخت,101,āriyā doxt,female,دختر آریایی - دختر ایرانی,فارسی
آریاراد,101,āriyā rād,male,آریا+راد(جوانمرد بخشنده دانا شجاع) آریایی جوانمرد آریایی شجاع آریایی دانا - نام پسر اردشیر دوم پادشاه هخامنشی,فارسی
آریاز,514,āriyāz,male,نام یکی از سرداران هخامنشی,فارسی
آریامن,275,āriyā man,male,دریا سالار خشایارشاه پادشاه هخامنشی,فارسی
آریان,11710,āriyān,both,بانوی بسیار مقدس - نام دختر مینوس پادشاه اساطیری یونان,فرانسه
آریانا,9223,āriyānā,female,نامی که جغرافی دانان یونانی به قسمتی از ایران یعنی سرزمین آریایی ها داده بودند,فارسی
آریاناز,604,āriyā nāz,female,موجب فخر و مباهات قوم آریایی,فارسی
آریانوش,101,āriyā nuš,female,شادکننده و خوشحال کننده آریاییان,فارسی
آریاک,101,,male,نام یکی از سرداران ایرانی و فرماندار کاپادوکیه,فارسی
آریس, ,,male,برزگر,ارمنی
آریسا,3867,ārisā,female,اریسا - ایرسا - رنگین کمان - همچنین به ریشه بوته سوسن کبود هم آریسا گویند,فارسی
آریسان,241,ārisān,female,مرکب از آری به معنای آریایی بعلاوه پسوند مشابهت ، دختری که مانند آریاییان اصیل و نجیب است,فارسی
آریستا,414,āristā,female,زیبا و خوشکل مانند عروس ، مرکب ازآریس به معنای عروس و تا پسوند مشابهت,فارسی
آرین دخت, ,,female,دختر آریایی - دختر ایرانی,فارسی
آرینا,9160,āriyanā,female,آریایی نژاد - از نسل آریایی,کردی
آریو,4060,āriu,male,نام یکی از سرداران بزرگ ایرانی زمان داریوش سوم پادشاه هخامنشی در نبرد با اسکندر مقدونی,فارسی
آریوبرزن,833,āriu barzan,male,آتش ایرانی - کنایه از قدرت و خشم ایرانی - نام یکی از سرداران بزرگ ایرانی زمان داریوش سوم پادشاه هخامنشی در نبرد با اسکندر مقدونی,فارسی
آریوراد,101,,male,نام پسر اردشیر دوم پادشاه هخامنشی - ایرانی و جوانمرد,فارسی
آزاد,13560,āzād,male,رها شده از گرفتاری یا چیزی آزاردهنده،فارغ و آسوده،درختی جنگلی و بلند،رها شده از تعلقات دنیوی,فارسی
آزادبه, ,āzād beh,male,آزاد(رها) + به(سالم و خوب)-به معنای انسان سالم و آزاد - نام یکی از سرداران ایرانی در قرن دوم,فارسی
آزادچهر,101,āzād čehr,both,دارای چهره آزادگان - آنکه ظاهری آزاده و بزرگمنشانه دارد - نام یکی از قهرمانان مرزبان نامه,فارسی
آزاددخت,101,āzād doxt,female,دختر آزاده ، نام همسر شاپور اول پادشاه ساسانی,فارسی
آزاده,67696,āzāde,female,عاری از صفات ناپسند اخلاقی،رها ، وارسته،از شخصیتهای شاهنامه، نام همسر رومی بهرام گور پادشاه ساسانی,فارسی
آزر, ,āzar,male,نام پدر ابراهیم خلیل (ع) - اسبی که ران دو پای عقبش مشکی و دستهایش به رنگ دیگر است,عبری-عربی
آزران, ,āzarān,male,منسوب به آزر،آزر نام پدر یا عموی حضرت ابراهیم و همچنین نام نژادی از اسب است که پاهایش سیاه و دستانش به رنگی دیگر است,عبری
آزرم,127,āzarm,female,شرم وحیا،ملایمت، مهربانی،از شخصیتهای شاهنامه، نام دختر خسروپرویز پادشاه ساسانی,فارسی
آزرم خاتون, ,,female,آزرم + خاتون ،بانوی با حیا,فارسی
آزرمدخت,101,āzarm doxt,female,دختر با حیا,فارسی
آزرمی دخت,101,āzar midoxt,female,دختر پرویزبن هرمزبن انوشیروان معروف به عادله که ۴ ماه زمام حکومت را در اختیار داشت، دختر باحیا,فارسی
آزرمیدخت,101,āzarmi doxt,female,آذرم + ی نسبت + دخت، دختر با حیا دختر سنگین و با وجاهت-نام دختر پرویز نوه انوشیروان که ۴ ماه بر ایران فرمانروایی کرد,فارسی
آژند,101,āžand,male,پیوند دهنده ، چسباننده ، در اصطلاح بنایی ملاطی که بین ردیفهای آجر می‌گذارند,فارسی
آسا,614,āsā,female,زیور مایه زیبایی و آرایش - وقار و ثبات و تمکین و آسودگی,فارسی
آسادخت,101,āsā doxt,female,دختر زیبا،دختر آرام،دختر با وقار,فارسی
آسانا,672,āsānā,female,دختر زیبا,-
آسپیان, ,,male,آبتین-روح کامل-انسان نیکو کار-از شخصیتهای شاهنامه، نام پدر فریدون پادشاه پیشدادی,فارسی
آستیاژ,101,āstiyāž,male,آسپاداس،آخرین پادشاه ماد که از کورش کبیر پادشاه و موسس هخامنشیان شکست خورد,فارسی
آسمان,890,ās(e)mān,female,فضای بالای سر ما که آبی رنگ به نظر می رسد، نام روز بیست وهفتم از هر ماه شمسی در ایران قدیم،نام کوهی در نزدیکی بندر نخیلو در ساحل خلیج فارس,فارسی
آسو,1369,āsu,male,شفق،هنگام طلوع خورشید،همچنین نام شرابی مست کننده که از قند سیاه درست می کنند،نام محلی در مسیرلار به لنگه,کردی
آسوده,331,āsude,female,راحت و آرام,فارسی
